숙소ID,구,동,업소명,주소,위도,경도,인접도로명,인접도로폭,지도표시도로폭,도로폭_출처,도로폭_도로구간매칭,도로폭_거리m,공식도로폭m,도로폭_위험도,도로폭_속도계수,도로폭_보정이동시간초,도로폭_보정예상도착초,실폭도로ID,실폭도로일련번호,도로구간관리번호,도로명코드 
846,중구,신당동,성도여관,서울특별시 중구 신당동 239-46번지,37.56123239,127.01322119,청구로10길,6m미만,6m미만,API,교차,8.79,4.0,1.0,1.3,70,130,1487,918,551.0,4103292
847,중구,신당동,프린스,서울특별시 중구 신당동 374-10번지,37.55293219,127.01001889,다산로8길,폭10-12m,6m미만,API,교차,0.0,10.0,0.55,1.08,4,64,2360,1535,856.0,4103075
848,중구,오장동,호텔스카이파크 동대문1호점,서울특별시 중구 오장동 206-2번지,37.56144741,127.00129028,동호로27길,폭6-8m,6m미만,API,교차,9.21,7.0,0.85,1.22,109,169,1812,88,658.0,4103105
849,중구,,가가하우스,서울특별시 중구 충무로4가 22번지,37.55978163,126.99392829,퇴계로34길,폭8-10m,폭6-8m,API,교차,50.24,9.0,0.7,1.14,38,98,1662,664,1295.0,4103341
850,중구,황학동,대림,서울특별시 중구 황학동 840번지,37.5634477,127.02217864,퇴계로90길,6m미만,6m미만,API,교차,1.45,4.0,1.0,1.3,95,155,2617,98,368.0,4103396
851,중구,광희동,올리브호스텔 동대문점,서울특별시 중구 광희동1가 182-20번지,37.5626401,127.00609161,장충단로7길,폭6-8m,6m미만,API,교차,2.29,6.0,0.85,1.22,105,165,2289,338,216.0,4103272
852,중구,,뉴천지호텔,서울특별시 중구 을지로5가 133-1번지,37.56313439,127.00255779,동호로,폭35-40m,폭35-40m,공식만,교차,0.0,35.0,0.08,0.95,97,157,2623,585,1517.0,3005001
853,중구,,트레블로지 동대문 호텔,서울특별시 중구 을지로5가 273-4번지,37.563663,127.00109712,퇴계로45길,폭6-8m,6m미만,API,교차,0.0,7.0,0.85,1.22,109,169,1778,110,40.0,4103351
854,중구,무학동,탑모텔,서울특별시 중구 무학동 59-2번지,37.56126348,127.01379887,다산로31길,6m미만,6m미만,API,교차,4.99,2.0,1.0,1.3,66,126,2069,1024,544.0,4103047
855,중구,인현동,호텔 피제이 명동,서울특별시 중구 인현동1가 2-35번지,37.56206173,126.99491248,퇴계로,폭35-40m,6m미만,API,교차,1.28,39.0,0.08,0.95,20,80,1723,350,1507.0,3101011
856,중구,장충동,더 스테이(THE STAY),서울특별시 중구 장충동2가 7-1번지,37.5588474,127.00492806,퇴계로,폭35-40m,6m미만,API,교차,0.36,39.0,0.08,0.95,89,149,1723,350,1507.0,3101011
857,중구,장충동,아르뎁(arrdep),서울특별시 중구 장충동2가 69번지,37.55893603,127.00439178,퇴계로,폭35-40m,6m미만,API,교차,0.0,39.0,0.08,0.95,93,153,1723,350,1507.0,3101011
858,중구,오장동,케이게스트하우스(K-guesthouse) 동대문,서울특별시 중구 오장동 139-3번지,37.56243879,127.00128199,필동로,폭12-15m,6m미만,API,교차,4.17,12.0,0.45,1.04,92,152,1751,191,1509.0,3101012
859,중구,남창동,황금장여관,서울특별시 중구 남창동 168-5번지,37.55485434,126.97697518,소월로,폭20-25m,폭20-25m,공식만,교차,7.49,20.0,0.25,1.0,79,139,2512,21,1521.0,3101018
860,중구,,스테이락 호텔,서울특별시 중구 충무로4가 315번지,37.55917934,126.99423899,필동로,폭12-15m,6m미만,API,교차,84.72,12.0,0.45,1.04,44,104,1751,191,1509.0,3101012
861,중구,명동,호텔 스카이파크 Ⅱ,서울특별시 중구 을지로2가 195-8번지,37.56217058,126.98426358,명동4길,폭6-8m,6m미만,API,교차,9.38,6.0,0.85,1.22,65,125,2202,126,272.0,4103156
862,중구,산림동,상원장,서울특별시 중구 산림동 76-2번지,37.56530472,126.99629939,을지로18길,6m미만,6m미만,API,교차,1.42,5.0,1.0,1.3,72,132,2453,52,1479.0,4103239
863,중구,산림동,H2O,서울특별시 중구 산림동 293-1번지,37.56416937,126.99421889,마른내로,폭20-25m,6m미만,API,교차,7.16,20.0,0.25,1.0,30,90,1981,29,1525.0,3101002
864,중구,광희동,호텔 클로이,서울특별시 중구 광희동1가 130번지,37.56295774,127.00508168,퇴계로54길,6m미만,6m미만,API,교차,0.56,5.0,1.0,1.3,120,180,2306,89,1595.0,4103361
865,중구,황학동,중앙여관,서울특별시 중구 황학동 48번지,37.56691122,127.01772561,퇴계로81길,폭8-10m,폭6-8m,API,교차,15.82,9.0,0.7,1.14,41,101,1614,36,38.0,4103384
866,중구,,뉴스테이인(New stay inn),서울특별시 중구 충무로3가 59-22번지,37.55962839,126.98981774,퇴계로26가길,폭8-10m,폭8-10m,공식만,교차,5.17,9.0,0.7,1.14,14,74,2095,189,1290.0,4103333
867,중구,북창동,호텔 문(hotel moon),서울특별시 중구 북창동 94-38번지,37.55959687,126.97757678,남대문시장길,폭6-8m,폭6-8m,API,교차,11.05,7.0,0.85,1.22,77,137,1486,187,1522.0,4103023
868,중구,명동,오요 명동2,서울특별시 중구 충무로2가 61-2번지,37.55899863,126.98717219,퇴계로20가길,6m미만,6m미만,API,교차,3.83,3.0,1.0,1.3,25,85,2234,194,557.0,4103328
869,중구,남창동,노마드호스텔,서울특별시 중구 남창동 232-2번지,37.55419408,126.97581133,후암로58길,폭8-10m,폭15-20m,API,교차,0.0,9.78,0.7,1.14,82,142,2298,3,1197.0,4103405
870,중구,중림동,다림여인숙,서울특별시 중구 중림동 118-4번지,37.55551958,126.96756962,중림로,폭15-20m,폭8-10m,API,교차,0.14,15.0,0.35,1.02,112,172,1456,148,1246.0,3101007
871,중구,,호텔 DDK,서울특별시 중구 을지로6가 18-59번지,37.56419834,127.00571009,퇴계로,폭35-40m,6m미만,API,교차,14.05,39.0,0.08,0.95,74,134,1723,350,1507.0,3101011
872,중구,광희동,호텔 라온,서울특별시 중구 광희동1가 187-2번지,37.56223745,127.0057924,장충단로7길,폭6-8m,6m미만,API,교차,1.16,6.0,0.85,1.22,112,172,2289,338,216.0,4103272
873,중구,명동,K9명동호텔,서울특별시 중구 충무로2가 12-17번지,37.55916111,126.98612411,퇴계로18길,폭8-10m,6m미만,API,교차,2.22,9.0,0.7,1.14,35,95,2573,307,401.0,4103327
874,중구,,호텔어라이브 을지로 틈,서울특별시 중구 을지로3가 335-2번지,37.56274334,126.99084196,퇴계로27길,폭8-10m,6m미만,API,교차,4.44,9.0,0.7,1.14,27,87,1388,308,1178.0,4103335
875,중구,오장동,글로리 인(Glory Inn),서울특별시 중구 오장동 139-18번지,37.56233361,127.00129083,필동로,폭12-15m,6m미만,API,교차,6.0,12.0,0.45,1.04,92,152,1751,191,1509.0,3101012
876,중구,명동,57 명동 호스텔,서울특별시 중구 충무로1가 24-28번지,37.55824724,126.98265646,퇴계로12길,폭8-10m,6m미만,API,교차,13.37,8.0,0.7,1.14,8,68,2227,295,1017.0,4103324
877,중구,신당동,Q모텔,서울특별시 중구 신당동 241-124번지,37.56099285,127.01364236,다산로33길,6m미만,6m미만,API,교차,2.99,5.0,1.0,1.3,72,132,2497,387,1378.0,4103050
878,중구,,에이큐브호텔,서울특별시 중구 을지로5가 274-1번지,37.56347491,127.00124884,퇴계로45길,폭6-8m,6m미만,API,교차,7.19,7.0,0.85,1.22,110,170,1778,110,40.0,4103351
879,중구,신당동,대천여관,서울특별시 중구 신당동 308-21번지,37.55695173,127.01174672,다산로,폭25-30m,폭25-30m,공식만,교차,0.0,28.0,0.18,0.98,58,118,2073,211,1515.0,3101014
880,중구,신당동,J모텔,서울특별시 중구 신당동 381-8번지,37.55290824,127.00958362,다산로6길,폭6-8m,6m미만,API,교차,10.61,6.0,0.85,1.22,1,61,2121,50,772.0,4103074
881,중구,신당동,쉐어하우스 다함,서울특별시 중구 신당동 377-111번지,37.55482988,127.01061316,다산로,폭25-30m,폭25-30m,공식만,교차,0.0,28.0,0.18,0.98,27,87,2073,211,1515.0,3101014
882,중구,,호텔 밀리오레,서울특별시 중구 을지로6가 18-185번지,37.56557232,127.00752233,장충단로,폭25-30m,폭25-30m,공식만,교차,0.0,25.0,0.18,0.98,52,112,1503,568,1514.0,3101021
883,중구,신당동,그리네 스테이,서울특별시 중구 신당동 130-13번지,37.56247269,127.01813039,다산로42다길,폭8-10m,6m미만,API,교차,4.86,8.0,0.7,1.14,48,108,1890,310,41.0,4103067
884,중구,북창동,스타힐스호텔,서울특별시 중구 북창동 122번지,37.55874491,126.97690947,소월로,폭20-25m,폭20-25m,공식만,교차,15.57,20.0,0.25,1.0,68,128,1361,673,1521.0,3101018
885,중구,황학동,창덕여인숙,서울특별시 중구 황학동 371-6번지,37.56373275,127.01793959,다산로40길,6m미만,폭6-8m,API,교차,6.49,4.0,1.0,1.3,39,99,2526,1324,1159.0,4103063
886,중구,회현동,신세계,서울특별시 중구 회현동1가 208번지,37.55494665,126.98150043,소파로,폭30-35m,6m미만,API,교차,0.0,34.0,0.12,0.96,46,106,1387,19,1510.0,3101005
887,중구,명동,호스텔 아라125,서울특별시 중구 명동1가 38-1번지,37.56201257,126.98374891,명동4길,폭6-8m,6m미만,API,교차,19.21,6.0,0.85,1.22,61,121,2202,126,272.0,4103156
888,중구,회현동,남산힐호텔,서울특별시 중구 회현동1가 142-8번지,37.55382358,126.9816432,소파로,폭30-35m,6m미만,API,교차,91.33,34.0,0.12,0.96,60,120,1387,19,1510.0,3101005
889,중구,광희동,레드모텔,서울특별시 중구 광희동1가 134번지,37.56307809,127.00509552,퇴계로54길,6m미만,6m미만,API,교차,4.44,5.0,1.0,1.3,118,178,2306,89,1595.0,4103361
890,중구,만리동,천안 여인숙,서울특별시 중구 만리동1가 35-8번지,37.55375612,126.96695207,만리재로36길,6m미만,6m미만,API,교차,5.64,5.0,1.0,1.3,118,178,3448,47,1722.0,4106083
891,중구,장충동,장충인(J C INN),서울특별시 중구 장충동2가 12-6번지,37.55828977,127.00446742,동호로,폭10-12m,폭10-12m,공식만,교차,27.68,10.0,0.55,1.08,98,158,2356,624,17.0,3005001
892,중구,만리동,동은여인숙,서울특별시 중구 만리동1가 62-38번지,37.55327049,126.96698776,청파로89길,6m미만,6m미만,API,교차,0.86,5.0,1.0,1.3,114,174,2738,1052,1955.0,4106392
893,중구,,박포루,서울특별시 중구 을지로7가 12번지,37.56219798,127.00943195,장충단로8길,6m미만,6m미만,API,교차,0.26,4.0,1.0,1.3,90,150,1826,975,740.0,4103274
894,중구,신당동,벤허,서울특별시 중구 신당동 432-2241번지,37.54633403,127.00640486,동호로5길,폭8-10m,폭8-10m,공식만,교차,104.4,8.0,0.7,1.14,107,167,1610,9,1209.0,4103113
895,중구,,레인보우호텔(Rainbow Hotel),서울특별시 중구 충무로3가 57-3번지,37.55975714,126.9913741,삼일대로,폭40-50m,폭40-50m,공식만,교차,8.06,40.0,0.04,0.94,25,85,2672,545,1520.0,2100001
896,중구,중림동,우리텔,서울특별시 중구 중림동 66번지,37.55608254,126.96801535,만리재로,폭25-30m,폭25-30m,공식만,교차,0.0,28.0,0.18,0.98,117,177,1669,18,1503.0,3101016
897,중구,남산동,서울뷰,서울특별시 중구 남산동2가 11-1번지,37.55707965,126.98518562,소파로,폭30-35m,6m미만,API,교차,9.09,34.0,0.12,0.96,25,85,1387,19,1510.0,3101005
898,중구,중림동,해성장여관,서울특별시 중구 중림동 128-24번지,37.55548515,126.96816194,만리재로,폭25-30m,폭25-30m,공식만,교차,13.74,28.0,0.18,0.98,113,173,3176,230,1503.0,3101016
899,중구,황학동,스테이 패스포트 신당,서울특별시 중구 황학동 2526번지,37.56381135,127.02108122,다산로42길,폭10-12m,6m미만,API,교차,5.41,10.0,0.55,1.08,66,126,1724,1308,732.0,4103065
900,중구,남산동,동도모텔,서울특별시 중구 남산동1가 12-2번지,37.55676546,126.98412427,퇴계로18길,폭8-10m,6m미만,API,교차,11.27,9.0,0.7,1.14,25,85,2573,307,401.0,4103327
901,중구,광희동,왕도여관,서울특별시 중구 광희동1가 153번지,37.56253871,127.00530436,장충단로7길,폭6-8m,6m미만,API,교차,1.9,6.0,0.85,1.22,115,175,2289,338,216.0,4103272
902,중구,명동,메이원 호텔,서울특별시 중구 명동2가 22번지,37.55987957,126.98517715,퇴계로18길,폭8-10m,6m미만,API,교차,0.17,9.0,0.7,1.14,33,93,2573,307,401.0,4103327
903,중구,광희동,독립주택,서울특별시 중구 광희동1가 240-2번지,37.56136225,127.00447519,장충단로7길,폭6-8m,6m미만,API,교차,3.83,6.0,0.85,1.22,134,194,2289,338,216.0,4103272
904,중구,,인더시티 명동(Inn The City Myeongdong),서울특별시 중구 충무로4가 308번지,37.55989789,126.99284192,퇴계로32길,6m미만,6m미만,API,교차,19.32,4.0,1.0,1.3,39,99,2396,48,611.0,4103340
905,중구,입정동,호텔 더 보타닉 세운 명동(A동),서울특별시 중구 입정동 281번지,37.56484325,126.99338869,을지로16길,폭6-8m,6m미만,API,교차,0.0,6.0,0.85,1.22,45,105,2629,264,463.0,4103237
906,중구,산림동,호텔 더 보타닉 세운 명동(B동),서울특별시 중구 산림동 302번지,37.56484712,126.99424607,을지로18길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,51,111,2453,52,1479.0,4103239
907,용산구,이태원동,성지모텔,서울특별시 용산구 이태원동 211-30번지,37.53723689,126.99088565,회나무로44가길,폭6-8m,6m미만,API,교차,0.0,6.0,0.85,1.22,79,139,2991,410,1301.0,4106502
908,용산구,이태원동,스테이 패스포트 이태원 호텔 앤 스파,서울특별시 용산구 이태원동 166-33번지,37.53200884,126.9906821,장문로,폭12-15m,6m미만,API,교차,31.74,13.0,0.45,1.04,66,126,2809,1050,160.0,3102011
909,용산구,서계동,금강,서울특별시 용산구 서계동 229-3번지,37.55085442,126.96620306,효창원로104길,6m미만,6m미만,API,교차,2.75,5.0,1.0,1.3,90,150,3432,267,2938.0,4106508
910,용산구,청파동,한글게스트하우스,서울특별시 용산구 청파동3가 24-10번지,37.54166996,126.9694399,백범로79길,폭6-8m,6m미만,API,교차,15.42,7.0,0.85,1.22,124,184,2973,415,1077.0,4106096
911,용산구,서계동,계림모텔,서울특별시 용산구 서계동 228-6번지,37.55143152,126.96613145,효창원로104나길,6m미만,6m미만,API,교차,2.78,5.0,1.0,1.3,91,151,4935,421,2945.0,4106509
912,용산구,,스카이호텔,서울특별시 용산구 한강로3가 40-327번지,37.52128153,126.9613988,양녕로,폭40-50m,폭40-50m,공식만,교차,0.0,40.0,0.04,0.94,136,196,2983,921,3187.0,3005080
913,용산구,동자동,주)조선호텔앤리조트포포인츠조선서울역,서울특별시 용산구 동자동 56번지,37.54811198,126.97199695,한강대로,폭40-50m,폭6-8m,API,교차,0.0,40.0,0.04,0.94,59,119,2794,199,2880.0,2005005
914,용산구,,노블호텔,서울특별시 용산구 한강로2가 2-194번지,37.52804337,126.96665847,한강대로,폭40-50m,폭6-8m,API,교차,0.0,40.0,0.04,0.94,91,151,2794,199,2880.0,2005005
915,용산구,,원효,서울특별시 용산구 원효로2가 81-1번지,37.53343113,126.96113216,청파로,폭30-35m,폭8-10m,API,교차,12.14,30.0,0.12,0.96,89,149,3748,444,2852.0,3101023
916,용산구,청파동,신진장,서울특별시 용산구 청파동1가 154-8번지,37.54626035,126.96964459,청파로47나길,6m미만,6m미만,API,교차,3.93,5.0,1.0,1.3,122,182,2726,1048,155.0,4106366
917,용산구,남영동,달고나모텔,서울특별시 용산구 남영동 7-3번지,37.54187455,126.97268968,한강대로77길,폭25-30m,폭20-25m,API,교차,0.0,27.0,0.18,0.98,101,161,4466,924,2878.0,4106450
918,용산구,이촌동,스카이스위트,서울특별시 용산구 이촌동 376번지,37.51842522,126.95939349,양녕로,폭40-50m,폭40-50m,공식만,교차,0.0,40.0,0.04,0.94,137,197,2983,921,3187.0,3005080
919,용산구,후암동,스위트75서울역점,서울특별시 용산구 후암동 99-4번지,37.54972353,126.9757675,두텁바위로1길,6m미만,6m미만,API,교차,0.8,5.0,1.0,1.3,31,91,2828,185,1024.0,4106057
920,용산구,이태원동,뷰 모텔,서울특별시 용산구 이태원동 136-47번지,37.531191,126.99580125,보광로46길,6m미만,6m미만,API,교차,1.32,5.0,1.0,1.3,56,116,2964,382,35.0,4106121
921,용산구,동자동,광주여인숙,서울특별시 용산구 동자동 11-24번지,37.55051278,126.97419464,두텁바위로1길,6m미만,6m미만,API,교차,9.57,5.0,1.0,1.3,56,116,2828,185,1024.0,4106057
922,용산구,남영동,로망스모텔,서울특별시 용산구 남영동 38번지,37.54136675,126.97255382,한강대로,폭40-50m,폭6-8m,API,교차,15.78,40.0,0.04,0.94,90,150,2794,199,2880.0,2005005
923,용산구,남영동,부킹용산닷컴1(Booking Yongsan.com1),서울특별시 용산구 남영동 37-1번지,37.54125605,126.97262245,한강대로,폭40-50m,폭6-8m,API,교차,12.36,40.0,0.04,0.94,89,149,2794,199,2880.0,2005005
924,용산구,동자동,서울네스트,서울특별시 용산구 동자동 4-6번지,37.55022009,126.9753306,한강대로104라길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,40,100,3383,113,2779.0,4106404
925,용산구,동자동,어바웃스테이서울역,서울특별시 용산구 동자동 35-146번지,37.54921254,126.97332097,한강대로102다길,6m미만,6m미만,API,교차,0.07,2.0,1.0,1.3,62,122,3418,409,900.0,4106399
926,용산구,갈월동,HOTEL E-CUBE(호텔 이큐브),서울특별시 용산구 갈월동 98-14번지,37.53766021,126.97140829,한강대로67길,6m미만,폭10-12m,API,교차,33.31,5.0,1.0,1.3,60,120,4287,422,2168.0,4106446
927,용산구,용산동,스테이코,서울특별시 용산구 용산동3가 1-57번지,37.5314273,126.97404309,한강대로62길,폭10-12m,6m미만,API,교차,37.45,11.0,0.55,1.08,44,104,4986,129,2915.0,4106443
928,용산구,,크래쉬인 용산,서울특별시 용산구 원효로2가 83-11번지,37.5333324,126.96078823,청파로,폭30-35m,폭8-10m,API,교차,0.0,30.0,0.12,0.96,85,145,3748,444,2852.0,3101023
929,용산구,갈월동,코스테이,서울특별시 용산구 갈월동 14-94번지,37.54337721,126.97172577,한강대로,폭40-50m,폭6-8m,API,교차,12.18,40.0,0.04,0.94,93,153,2794,199,2880.0,2005005
930,용산구,남영동,지용산인,서울특별시 용산구 남영동 88-1번지,37.53912265,126.97260274,한강대로,폭40-50m,폭6-8m,API,교차,62.6,40.0,0.04,0.94,62,122,2794,199,2880.0,2005005
931,용산구,,WO모텔 용산역,서울특별시 용산구 한강로3가 40-18번지,37.52142243,126.96156796,양녕로,폭40-50m,폭40-50m,공식만,교차,2.97,40.0,0.04,0.94,135,195,2983,921,3187.0,3005080
932,용산구,후암동,호텔 후암,서울특별시 용산구 후암동 265-13번지,37.54449245,126.98044656,신흥로29길,6m미만,6m미만,API,교차,37.88,4.0,1.0,1.3,86,146,3661,11717,2189.0,4106201
933,용산구,이태원동,현대,서울특별시 용산구 이태원동 15-10번지,37.52919726,126.99619337,장문로9가길,폭6-8m,6m미만,API,교차,71.02,6.0,0.85,1.22,84,144,4013,11334,1457.0,4106352
934,용산구,,?貧晁?,서울특별시 용산구 원효로2가 61-32번지,37.53217553,126.96233525,청파로20길,폭10-12m,폭8-10m,API,교차,0.0,11.0,0.55,1.08,106,166,3466,150,1462.0,4106354
935,용산구,보광동,통일여관,서울특별시 용산구 보광동 63-2번지,37.52380562,127.00131818,서빙고로,폭35-40m,폭6-8m,API,교차,6.59,39.0,0.08,0.95,73,133,3896,10,2875.0,3102004
936,용산구,청파동,동산장,서울특별시 용산구 청파동2가 106-1번지,37.54393815,126.96888549,백범로79길,폭6-8m,6m미만,API,교차,7.58,7.0,0.85,1.22,142,202,2973,415,1077.0,4106096
937,용산구,남영동,코지 모텔,서울특별시 용산구 남영동 7-4번지,37.54191116,126.97260153,한강대로77길,폭25-30m,폭20-25m,API,교차,0.0,27.0,0.18,0.98,101,161,4466,924,2878.0,4106450
938,용산구,이태원동,KAZI FAMILY HOTEL(카지패밀리호텔),서울특별시 용산구 이태원동 20-17번지,37.52867881,126.99570375,장문로9가길,폭6-8m,6m미만,API,교차,11.47,6.0,0.85,1.22,93,153,4013,11334,1457.0,4106352
939,용산구,,플라워하우스(Flower house),서울특별시 용산구 원효로3가 68번지,37.53199358,126.9571601,청파로,폭30-35m,폭8-10m,API,교차,44.02,30.0,0.12,0.96,45,105,3748,444,2852.0,3101023
940,용산구,이태원동,이태원모텔,서울특별시 용산구 이태원동 131-2번지,37.53110489,126.99367808,장문로,폭12-15m,6m미만,API,교차,13.86,13.0,0.45,1.04,51,111,2809,1050,160.0,3102011
941,용산구,갈월동,더메종컴퍼니,서울특별시 용산구 갈월동 89-14번지,37.54016648,126.97142658,청파로,폭30-35m,폭8-10m,API,교차,34.73,30.0,0.12,0.96,77,137,3748,444,2852.0,3101023
942,용산구,동자동,경기,서울특별시 용산구 동자동 10-6번지,37.55029277,126.97343473,한강대로104길,폭10-12m,폭6-8m,API,교차,0.0,11.0,0.55,1.08,54,114,3943,608,176.0,4106401
943,용산구,동빙고동,치커리(chicory),서울특별시 용산구 동빙고동 162-2번지,37.51836719,126.99525491,반포대로,폭40-50m,폭40-50m,공식만,교차,31.47,40.0,0.04,0.94,31,91,4439,1013,3191.0,2121003
944,용산구,후암동,서광,서울특별시 용산구 후암동 448-87번지,37.55193238,126.9765224,후암로,폭20-25m,6m미만,API,교차,3.01,20.0,0.25,1.0,42,102,2862,12615,2861.0,3101024
945,용산구,갈월동,일일모텔,서울특별시 용산구 갈월동 19-1번지,37.54281046,126.971993,한강대로81길,6m미만,6m미만,API,교차,27.32,5.0,1.0,1.3,134,194,4639,1015,2850.0,4106453
946,용산구,동자동,나나장,서울특별시 용산구 동자동 5-3번지,37.55044744,126.97455914,두텁바위로1길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,52,112,2828,185,1024.0,4106057
947,용산구,동자동,서정여인숙,서울특별시 용산구 동자동 10번지,37.55041744,126.97370561,한강대로104길,폭10-12m,폭6-8m,API,교차,3.9,11.0,0.55,1.08,52,112,3943,608,176.0,4106401
948,용산구,동자동,성남여인숙,서울특별시 용산구 동자동 10-10번지,37.55028632,126.97373284,한강대로104길,폭10-12m,폭6-8m,API,교차,0.0,11.0,0.55,1.08,51,111,3943,608,176.0,4106401
949,용산구,동자동,광신여인숙,서울특별시 용산구 동자동 9-5번지,37.55032361,126.97386684,두텁바위로1길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,58,118,2828,185,1024.0,4106057
950,용산구,동자동,미경여인숙,서울특별시 용산구 동자동 9-6번지,37.55026667,126.97385359,한강대로104길,폭10-12m,폭6-8m,API,교차,2.21,11.0,0.55,1.08,49,109,3943,608,176.0,4106401
951,용산구,동자동,송림여인숙,서울특별시 용산구 동자동 10-9번지,37.5502854,126.97368101,한강대로104나길,6m미만,6m미만,API,교차,0.0,4.0,1.0,1.3,61,121,4231,165,301.0,4106402
952,용산구,,애플여관,서울특별시 용산구 한강로3가 40-325번지,37.52136614,126.96147415,양녕로,폭40-50m,폭40-50m,공식만,교차,0.0,40.0,0.04,0.94,135,195,2983,921,3187.0,3005080
953,성동구,송정동,건대스테이,서울특별시 성동구 송정동 66-170번지,37.54594785,127.06311791,성수이로26길,폭10-12m,폭8-10m,API,교차,14.08,10.0,0.55,1.08,71,131,6090,123,2184.0,4109349
954,용산구,갈월동,호텔 더 디자이너스,서울특별시 용산구 갈월동 69-27번지,37.5428,126.97079796,청파로,폭30-35m,폭8-10m,API,교차,0.0,30.0,0.12,0.96,107,167,3748,444,2852.0,3101023
955,용산구,한남동,한남67호텔,서울특별시 용산구 한남동 657-104번지,37.5307153,127.0048641,대사관로30나길,6m미만,6m미만,API,교차,8.39,4.0,1.0,1.3,140,200,4321,356,1809.0,4106028
956,용산구,청파동,WO모텔서울역,서울특별시 용산구 청파동1가 160-1번지,37.5459209,126.96872864,청파로47나길,6m미만,6m미만,API,교차,16.48,5.0,1.0,1.3,136,196,2726,1048,155.0,4106366
957,용산구,갈월동,레인보우호텔(용산),서울특별시 용산구 갈월동 98-2번지,37.53867965,126.97131633,청파로,폭30-35m,폭8-10m,API,교차,25.1,30.0,0.12,0.96,58,118,3748,444,2852.0,3101023
958,용산구,청파동,진양모텔,서울특별시 용산구 청파동2가 1-81번지,37.54408752,126.96282668,효창원로,폭20-25m,폭20-25m,공식만,교차,20.83,20.0,0.25,1.0,87,147,3663,205,2869.0,3005022
959,용산구,서계동,MK 리버티하우스,서울특별시 용산구 서계동 220-3번지,37.55183526,126.9678297,청파로83길,6m미만,6m미만,API,교차,4.03,3.0,1.0,1.3,116,176,4645,182,1217.0,4106389
960,용산구,,평안,서울특별시 용산구 원효로3가 1-43번지,37.53278784,126.95914916,청파로,폭30-35m,폭8-10m,API,교차,18.86,30.0,0.12,0.96,67,127,3748,444,2852.0,3101023
961,용산구,동자동,덕성,서울특별시 용산구 동자동 11-26번지,37.55051627,126.9743702,두텁바위로1길,6m미만,6m미만,API,교차,6.53,5.0,1.0,1.3,55,115,2828,185,1024.0,4106057
962,용산구,동자동,명신,서울특별시 용산구 동자동 9-8번지,37.55014919,126.9737769,한강대로104나길,6m미만,6m미만,API,교차,7.27,4.0,1.0,1.3,60,120,4231,165,301.0,4106402
963,용산구,이촌동,문화,서울특별시 용산구 이촌동 212-37번지,37.52717601,126.9533485,강변북로,폭50-70m,폭50-70m,공식만,교차,0.0,50.0,0.0,0.93,36,96,2979,1,3189.0,3196001
964,용산구,동자동,24게스트 하우스 모텔 서울역,서울특별시 용산구 동자동 35-125번지,37.54890816,126.97330249,한강대로102다길,6m미만,6m미만,API,교차,1.57,2.0,1.0,1.3,62,122,3418,409,900.0,4106399
965,용산구,,메이호텔(MAY HOTEL),서울특별시 용산구 한강로3가 65-190번지,37.52134758,126.96361132,이촌로,폭25-30m,폭10-12m,API,교차,25.62,25.0,0.18,0.98,156,216,4084,22,2867.0,3102008
966,용산구,남영동,뉴월드,서울특별시 용산구 남영동 42번지,37.54153717,126.97272864,한강대로,폭40-50m,폭6-8m,API,교차,0.0,40.0,0.04,0.94,93,153,2794,199,2880.0,2005005
967,용산구,동자동,아로하 게스트하우스,서울특별시 용산구 동자동 35-47번지,37.54905051,126.97361693,한강대로102다길,6m미만,6m미만,API,교차,7.12,2.0,1.0,1.3,58,118,3418,409,900.0,4106399
968,용산구,보광동,삼성장,서울특별시 용산구 보광동 60번지,37.52394807,127.00158026,서빙고로91길,폭8-10m,6m미만,API,교차,0.0,9.0,0.7,1.14,92,152,2825,1049,3059.0,4106165
969,용산구,남영동,스프링라이트 모텔(SPRING LIGHT MOTEL),서울특별시 용산구 남영동 96-2번지,37.53985478,126.97300373,한강대로,폭40-50m,폭6-8m,API,교차,11.2,40.0,0.04,0.94,72,132,2794,199,2880.0,2005005
970,용산구,동자동,희망여관,서울특별시 용산구 동자동 11-20번지,37.55051637,126.97389741,두텁바위로1길,6m미만,6m미만,API,교차,4.97,5.0,1.0,1.3,60,120,2828,185,1024.0,4106057
971,용산구,용산동,수정여관,서울특별시 용산구 용산동3가 1-78번지,37.53137311,126.97361397,한강대로62길,폭10-12m,6m미만,API,교차,15.53,11.0,0.55,1.08,43,103,4986,129,2915.0,4106443
972,용산구,청파동,경향,서울특별시 용산구 청파동1가 154-7번지,37.54629608,126.96953109,청파로57길,폭6-8m,6m미만,API,교차,3.22,6.0,0.85,1.22,116,176,3040,292,2131.0,4106373
973,용산구,문배동,모던용산한옥,서울특별시 용산구 문배동 11-10번지,37.53502786,126.96802651,백범로90다길,6m미만,폭6-8m,API,교차,27.78,4.0,1.0,1.3,51,111,2896,510,857.0,4106104
